"Timestamp","Do you believe in horoscope","What is your zodiac sign","What are your hobbies? (one or more) (please dont answer with sleeping) :(","How do you typically feel in social situations (e.g., parties, gatherings)?","Do you prefer spending time alone or with others? ","How do you generally approach new experiences or challenges? ","How do you feel when faced with stressful situations?  ","When something goes wrong, how do you usually react?  ","How often do you feel a deep emotional connection to others (friends, family, or pets)?  ","When working on a project or task, how do you prefer to organize your time?","How do you feel about competition?  ","Do you prefer to lead a team or work behind the scenes?  ","How do you handle conflicts with others?  ","When interacting with people, how likely are you to express your emotions openly?  ","How do you feel about helping others, even when it’s inconvenient for you?  ","How important is it for you to try new things (e.g., travel, hobbies, experiences)?  ","When faced with a difficult problem, how do you usually solve it?  ","If you could describe your personality in three words, what would they be?  ","What do you value most in your relationships with others?  "
"2024/12/11 9:03:08 AM GMT+8","No","Gemini ( May 21 - June 21)","Painting, Gaming, Planning Hangouts","I feel comfortable but prefer smaller groups.","I enjoy being around people as much as possible.","I take time to think things through before committing.","I may feel anxious at first but manage to handle it.","I stay composed and quickly look for a solution.","Almost always—I’m very in tune with others’ emotions.","I’m flexible, but I try to stick to a rough plan.","I prefer to avoid competition and focus on collaboration instead.","I’m comfortable either way, depending on the situation.","I avoid conflict but will address it if necessary.","I express my emotions freely and openly.","I’m always willing to help, no matter what.","I love trying new things and thrive on variety.","I look for practical, well-established methods to solve the problem.","Bubbly, Ambivert, Loving","Quality time and thoughtfulness "
"2024/12/11 9:41:28 AM GMT+8","Yes","Cancer ( June 22 - July 22 )","Reading, playing games","I feel comfortable but prefer smaller groups.","I like a balance of time alone and with others.","I tend to avoid change or anything that feels uncertain.","I often feel overwhelmed or anxious in stressful situations.","I get frustrated but eventually calm down and solve the issue.","Almost always—I’m very in tune with others’ emotions.","I tend to do things last minute or follow a spontaneous approach.","I don’t mind competition as long as it’s friendly and fair.","I prefer to support others and avoid being in the spotlight.","I avoid conflict but will address it if necessary.","I express my emotions but carefully consider the situation.","I help when I can, but I have limits.","I enjoy trying new things occasionally but also value routine.","I come up with creative or unconventional solutions.","Sensitive, romantic, caring","I value companionship in a relationship"
"2024/12/11 9:54:34 AM GMT+8","No","Aries ( March 21 - April 19 )","Gaming, parkour, exercise ","I feel comfortable but prefer smaller groups.","I like a balance of time alone and with others.","I take time to think things through before committing.","I may feel anxious at first but manage to handle it.","I get frustrated but eventually calm down and solve the issue.","Sometimes—I connect deeply but it depends on the situation.","I tend to do things last minute or follow a spontaneous approach.","I don’t mind competition as long as it’s friendly and fair.","I’m comfortable either way, depending on the situation.","I face them directly and try to resolve them immediately.","I express my emotions freely and openly.","I help when I can, but I have limits.","I enjoy trying new things occasionally but also value routine.","I come up with creative or unconventional solutions.","Loud, weird, annoying","Genuineness "
"2024/12/11 10:03:34 AM GMT+8","Yes","Cancer ( June 22 - July 22 )","Watching movies","I feel comfortable but prefer smaller groups.","I prefer being alone or in quiet settings.","I take time to think things through before committing.","I may feel anxious at first but manage to handle it.","I get frustrated but eventually calm down and solve the issue.","Sometimes—I connect deeply but it depends on the situation.","I’m flexible, but I try to stick to a rough plan.","I enjoy it and thrive in competitive environments.","I prefer to support others and avoid being in the spotlight.","I avoid conflict but will address it if necessary.","I express my emotions but carefully consider the situation.","I help when I can, but I have limits.","I enjoy trying new things occasionally but also value routine.","I look for practical, well-established methods to solve the problem.","Moody, caring, sensitive","Communication "
"2024/12/11 10:36:45 AM GMT+8","No","Pisces ( February 19 - March 20 )","Travelling, embroidery, gaming, listening music, drawing","I feel comfortable but prefer smaller groups.","I like a balance of time alone and with others.","I take time to think things through before committing.","I often feel overwhelmed or anxious in stressful situations.","I get frustrated but eventually calm down and solve the issue.","Sometimes—I connect deeply but it depends on the situation.","I’m flexible, but I try to stick to a rough plan.","I prefer to avoid competition and focus on collaboration instead.","I prefer to support others and avoid being in the spotlight.","I tend to stay quiet and hope the issue resolves itself.","I express my emotions but carefully consider the situation.","I help when I can, but I have limits.","I enjoy trying new things occasionally but also value routine.","I look for practical, well-established methods to solve the problem.","Introverted, curious, indecisive ","Trust"
"2024/12/11 11:03:41 AM GMT+8","Yes","Cancer ( June 22 - July 22 )","Journaling","I feel drained and prefer solitude.","I like a balance of time alone and with others.","I take time to think things through before committing.","I often feel overwhelmed or anxious in stressful situations.","I get frustrated but eventually calm down and solve the issue.","Sometimes—I connect deeply but it depends on the situation.","I’m flexible, but I try to stick to a rough plan.","I prefer to avoid competition and focus on collaboration instead.","I prefer to support others and avoid being in the spotlight.","I avoid conflict but will address it if necessary.","I keep my emotions private and rarely express them.","I help when I can, but I have limits.","I prefer to stick with familiar activities and avoid the unknown.","I look for practical, well-established methods to solve the problem.","introspective, empathetic, curious ","honesty "
"2024/12/11 11:24:07 AM GMT+8","Yes","Sagittarius ( November 22 - Decembe r 21 )","Photography! ","I feel comfortable but prefer smaller groups.","I like a balance of time alone and with others.","I take time to think things through before committing.","I stay calm and tackle the problem head-on.","I get frustrated but eventually calm down and solve the issue.","Rarely—I tend to keep a bit of emotional distance from others.","I’m flexible, but I try to stick to a rough plan.","I don’t mind competition as long as it’s friendly and fair.","I prefer to support others and avoid being in the spotlight.","I avoid conflict but will address it if necessary.","I keep my emotions private and rarely express them.","I help when I can, but I have limits.","I enjoy trying new things occasionally but also value routine.","I look for practical, well-established methods to solve the problem.","Careful, Warm, Introvert","longevity and transparencyin friendship / relationship"
"2024/12/11 11:41:59 AM GMT+8","Yes","Aquarius ( January 20 - February 18 )","Photography, Doing sports","I feel energized and enjoy interacting with people.","I like a balance of time alone and with others.","I take time to think things through before committing.","I may feel anxious at first but manage to handle it.","I get frustrated but eventually calm down and solve the issue.","Almost always—I’m very in tune with others’ emotions.","I like to plan things meticulously and follow a schedule.","I enjoy it and thrive in competitive environments.","I’m comfortable either way, depending on the situation.","I face them directly and try to resolve them immediately.","I express my emotions freely and openly.","I help when I can, but I have limits.","I love trying new things and thrive on variety.","I look for practical, well-established methods to solve the problem.","Cheerful, Outgoing, Respectful","Time spent with others"
"2024/12/11 11:51:37 AM GMT+8","No","Capricorn ( December 22 - January 19 )","making keychains and creating models with lego","I feel drained and prefer solitude.","I like a balance of time alone and with others.","I tend to avoid change or anything that feels uncertain.","I often feel overwhelmed or anxious in stressful situations.","I tend to feel upset for a long time and struggle to recover quickly.","Sometimes—I connect deeply but it depends on the situation.","I’m flexible, but I try to stick to a rough plan.","I don’t mind competition as long as it’s friendly and fair.","I’m comfortable either way, depending on the situation.","I avoid conflict but will address it if necessary.","I keep my emotions private and rarely express them.","I tend to prioritize my own needs over helping others.","I enjoy trying new things occasionally but also value routine.","I look for practical, well-established methods to solve the problem.","Resilient, Knowledgable and fair","I value a person's values and personal qualities."
"2024/12/11 12:21:52 PM GMT+8","No","Pisces ( February 19 - March 20 )","Badminton ","I feel comfortable but prefer smaller groups.","I like a balance of time alone and with others.","I take time to think things through before committing.","I stay calm and tackle the problem head-on.","I tend to feel upset for a long time and struggle to recover quickly.","Sometimes—I connect deeply but it depends on the situation.","I’m flexible, but I try to stick to a rough plan.","I don’t mind competition as long as it’s friendly and fair.","I’m comfortable either way, depending on the situation.","I face them directly and try to resolve them immediately.","I express my emotions but carefully consider the situation.","I’m always willing to help, no matter what.","I enjoy trying new things occasionally but also value routine.","I look for practical, well-established methods to solve the problem.","NIL","Nil"
